交易日期,品種代碼,魚貨名稱,上價元/公斤,中價元/公斤,下價元/公斤,交易量公斤,交易量漲跌幅+(-)%,平均價元/公斤,平均價漲跌幅+(-)%
2019-06-01,1041,虱目魚,105.7,93.3,71.4,4008.1,4.4,91.4,-1.1
2019-05-31,1041,虱目魚,103.6,94.0,76.4,3841.0,20.0,92.4,-0.5
2019-05-30,1041,虱目魚,104.3,95.3,74.0,3199.6,-4.3,92.9,-1.8
2019-05-29,1041,虱目魚,104.2,96.1,80.7,3342.8,-37.1,94.6,4.4
2019-05-28,1041,虱目魚,105.7,89.3,79.2,5316.4,0.0,90.6,0.0
2019-05-27,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-26,1041,虱目魚,104.2,96.9,78.4,5554.8,43.3,94.7,0.7
2019-05-25,1041,虱目魚,108.6,93.8,80.0,3875.1,-4.2,94.0,0.9
2019-05-24,1041,虱目魚,106.2,93.5,79.4,4045.3,5.7,93.2,1.5
2019-05-23,1041,虱目魚,104.0,92.7,77.1,3827.9,-1.8,91.8,1.5
2019-05-22,1041,虱目魚,106.9,91.1,71.4,3899.8,-0.4,90.4,-0.9
2019-05-21,1041,虱目魚,104.3,91.2,78.0,3915.3,0.0,91.2,0.0
2019-05-20,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-19,1041,虱目魚,107.1,92.1,79.0,3492.5,-9.2,92.5,0.5
2019-05-18,1041,虱目魚,107.0,91.9,77.4,3847.3,-5.5,92.0,4.0
2019-05-17,1041,虱目魚,103.8,90.9,65.7,4071.1,6.9,88.5,-3.6
2019-05-16,1041,虱目魚,110.9,91.4,74.0,3810.1,-2.3,91.8,0.9
2019-05-15,1041,虱目魚,101.9,91.8,77.9,3898.4,-3.1,91.0,-2.5
2019-05-14,1041,虱目魚,108.3,94.4,75.7,4021.5,0.0,93.3,0.0
2019-05-13,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-12,1041,虱目魚,108.6,89.1,76.7,3907.1,11.7,90.5,-2.3
2019-05-11,1041,虱目魚,103.3,95.0,74.6,3497.1,-9.2,92.6,0.3
2019-05-10,1041,虱目魚,101.5,93.8,78.4,3850.3,-2.0,92.3,1.7
2019-05-09,1041,虱目魚,102.5,91.7,76.7,3930.8,-24.2,90.8,-4.0
2019-05-08,1041,虱目魚,102.4,97.4,78.1,5184.3,21.7,94.6,3.4
2019-05-07,1041,虱目魚,105.0,91.3,78.7,4259.5,0.0,91.5,0.0
2019-05-06,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-05-05,1041,虱目魚,105.5,97.9,76.2,5665.8,17.4,95.1,2.5
2019-05-04,1041,虱目魚,107.8,93.9,74.3,4825.2,17.0,92.8,4.0
2019-05-03,1041,虱目魚,103.3,90.9,70.1,4124.8,8.9,89.2,-3.6
2019-05-02,1041,虱目魚,106.6,91.9,80.0,3789.3,5.2,92.5,-0.6
2019-05-01,1041,虱目魚,107.7,93.8,76.2,3601.2,-18.6,93.1,3.8
2019-04-30,1041,虱目魚,103.5,90.6,73.1,4423.3,0.0,89.7,0.0
2019-04-29,9999,休市,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2019-04-28,1041,虱目魚,105.2,90.0,73.4,4000.2,-3.6,89.7,-2.5
2019-04-27,1041,虱目魚,109.8,91.6,75.2,4148.3,0.6,92.0,0.5
2019-04-26,1041,虱目魚,101.0,92.6,78.5,4124.6,5.9,91.5,-2.0
